edad,empleado,ingreso,titulo,experiencia,estadocivil,religion,estadoactual,color,sexo,ganado,perdido,horastrabajo,origen
9908:11585:11585:16621:36, Private, 175360, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Male, 13550, 0, 50, United-States, >50K
9909:11587:11587:16625:32, Private, 168443, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
9947:11633:11633:16702:53, Private, 254285, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
9948:11635:11635:16704:49, Private, 281647, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
9961:11649:11649:16721:37, Private, 112497, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
9980:11670:11670:16754:42, Private, 384236, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 40, United-States, >50K
10008:11703:11703:16802:69, Private, 71489, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 25, United-States, <=50K
10030:11726:11726:16839:47, Private, 72880, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
10038:11736:11736:16851:40, Private, 32627, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
10087:11787:11787:16920:37, Private, 221850, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, Ecuador, >50K
10118:11826:11826:16964:34, Private, 342709, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
10129:11838:11838:16981:54, Private, 57758, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 68, United-States, >50K
10137:11846:11846:16991:50, Private, 104501, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
10144:11855:11855:17002:42, Private, 145711, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 50, United-States, >50K
10154:11866:11866:17018:42, Private, 367049, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 4650, 0, 40, United-States, <=50K
10176:11890:11890:17054:45, Private, 187370, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Male, 7430, 0, 70, United-States, >50K
10177:11891:11891:17055:31, Private, 473133, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 40, United-States, >50K
10218:11937:11937:17114:46, Private, 198774, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 323, 45, United-States, <=50K
10228:11947:11947:17126:45, Private, 120724, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 4386, 0, 40, United-States, <=50K
10230:11949:11949:17128:49, Private, 423222, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
10247:11970:11970:17156:41, Private, 204662, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
10263:11987:11987:17181:44, Private, 99651, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 5178, 0, 40, United-States, >50K
10270:11995:11995:17191:30, Private, 96287, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
10286:12014:12014:17215:58, Private, 33725, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
10304:12033:12033:17242:52, Private, 180142, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 45, United-States, <=50K
10348:12083:12083:17318:53, Private, 174020, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 1876, 38, United-States, <=50K
10355:12090:12090:17332:47, Private, 102308, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 50, United-States, >50K
10375:12113:12113:17360:42, Private, 141558, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
10383:12121:12121:17369:48, Private, 141511, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
10395:12137:12137:17390:39, Private, 141584, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 2444, 45, United-States, >50K
10398:12141:12141:17395:40, Private, 221172, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 65, United-States, >50K
10418:12163:12163:17424:37, Private, 50837, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
10498:12255:12255:17556:34, Private, 141118, Masters, 14, Divorced, Prof-specialty, Own-child, White, Female, 0, 0, 60, United-States, >50K
10538:12300:12300:17623:27, Private, 181280, Masters, 14, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 30, United-States, <=50K
10558:12322:12322:17656:57, Private, 159319, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
10591:12361:12361:17711:39, Private, 76417, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
10599:12369:12369:17722:25, Private, 185942, Masters, 14, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, >50K
10622:12395:12395:17757:31, Private, 183043, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 48, United-States, >50K
10715:12509:12509:17926:45, Private, 178341, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
10743:12545:12545:17976:46, Private, 102569, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 65, United-States, >50K
10756:12558:12558:17993:43, Private, 102180, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
10801:12609:12609:18074:33, Private, 277455, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
10809:12618:12618:18085:38, Private, 353263, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 50, Italy, >50K
10868:12687:12687:18195:52, Private, 110748, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
10898:12719:12719:18242:58, Private, 142924, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 24, United-States, >50K
10932:12756:12756:18289:40, Private, 53727, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
11063:12911:12911:18524:52, Private, 74660, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
11096:12958:12958:18588:54, Private, 37289, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 55, United-States, >50K
11143:13017:13017:18679:33, Private, 160216, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 32, ?, <=50K
11158:13035:13035:18706:27, Private, 302406, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, <=50K
11169:13049:13049:18731:37, Private, 126569, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 40, United-States, >50K
11228:13114:13114:18834:90, Private, 115306, Masters, 14, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, <=50K
11342:13247:13247:19038:36, Private, 280169, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
11420:13334:13334:19158:47, Private, 98012, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 7688, 0, 40, United-States, >50K
11462:13384:13384:19227:33, Private, 100882, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
11474:13400:13400:19249:50, Private, 237868, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
11493:13422:13422:19284:44, Private, 155930, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 55, United-States, >50K
11496:13425:13425:19290:48, Private, 149640, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
11503:13432:13432:19301:39, Private, 258037, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, ?, <=50K
11515:13444:13444:19325:45, Private, 266860, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
11548:13482:13482:19380:40, Private, 99604, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 15024, 0, 24, United-States, >50K
11575:13510:13510:19419:44, Private, 151985, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 24, United-States, >50K
11586:13522:13522:19436:67, Private, 212705, Masters, 14, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, >50K
11593:13530:13530:19451:37, Private, 225504, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
11601:13539:13539:19466:48, Private, 148995, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
11628:13571:13571:19508:41, Private, 116825, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
11657:13608:13608:19565:51, Private, 22211, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 60, United-States, >50K
11708:13665:13665:19645:50, Private, 204447, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 65, United-States, >50K
11719:13677:13677:19658:33, Private, 171215, Masters, 14, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
11754:13717:13717:19726:38, Private, 127865, Masters, 14, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
11758:13721:13721:19734:24, Private, 204935, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 56, United-States, <=50K
11804:13781:13781:19823:24, Private, 172496, Masters, 14, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
11807:13784:13784:19827:54, Private, 198546, Masters, 14, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
11811:13788:13788:19831:55, Private, 208451, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
11816:13798:13798:19845:40, Private, 111829, Masters, 14, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
11854:13840:13840:19906:34, Private, 265706, Masters, 14, Never-married, Sales, Unmarried, White, Male, 0, 0, 60, United-States, >50K
11896:13891:13891:19970:45, Private, 145636, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 43, United-States, >50K
11940:13943:13943:20048:44, Private, 60414, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
11943:13946:13946:20053:54, Private, 162238, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
11944:13947:13947:20054:35, Private, 87556, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
11968:13972:13972:20095:26, Private, 164488, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 40, United-States, >50K
11970:13975:13975:20100:35, Private, 224512, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
11986:13993:13993:20127:62, Private, 252668, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K
12002:14012:14012:20152:48, Private, 185143, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
12009:14019:14019:20162:36, Private, 199439, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
12028:14043:14043:20202:37, Private, 202027, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7688, 0, 50, United-States, >50K
12052:14073:14073:20245:37, Private, 109133, Masters, 14, Separated, Exec-managerial, Not-in-family, White, Male, 27828, 0, 60, Iran, >50K
12093:14124:14124:20326:65, Private, 213477, Masters, 14, Divorced, Sales, Not-in-family, White, Male, 0, 0, 28, United-States, <=50K
12100:14132:14132:20336:27, Private, 178709, Masters, 14, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
12129:14169:14169:20388:40, Private, 154374, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 40, United-States, >50K
12143:14183:14183:20409:60, Private, 151369, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
12151:14193:14193:20426:68, Private, 50351, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 6360, 0, 20, United-States, <=50K
12163:14208:14208:20446:44, Private, 151089, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 60, United-States, >50K
12221:14278:14278:20559:33, Private, 192002, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 60, Canada, >50K
12252:14315:14315:20612:90, Private, 206667, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K
12268:14334:14334:20640:39, Private, 99146, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K
12294:14363:14363:20686:50, Private, 138852, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
12307:14378:14378:20704:59, Private, 154100, Masters, 14, Never-married, Sales, Not-in-family, White, Female, 27828, 0, 45, United-States, >50K
12329:14402:14402:20738:42, Private, 172297, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 1902, 40, United-States, >50K
12339:14414:14414:20758:50, Private, 234373, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 1485, 40, United-States, <=50K
12342:14418:14418:20763:40, Private, 213821, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
12410:14498:14498:20878:46, Private, 196858, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
12430:14520:14520:20912:42, Private, 124692, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
12471:14565:14565:20971:34, Private, 36385, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 2258, 50, United-States, <=50K
12479:14573:14573:20980:39, Private, 180477, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
12503:14599:14599:21015:35, Private, 185556, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 40, United-States, >50K
12524:14622:14622:21048:27, Private, 60288, Masters, 14, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
12589:14703:14703:21163:29, Private, 263005, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, Germany, <=50K
12616:14733:14733:21208:50, Private, 158680, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
12627:14746:14746:21228:47, Private, 202812, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K
12646:14768:14768:21261:28, Private, 46868, Masters, 14, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
12655:14777:14777:21271:29, Private, 241667, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
12671:14794:14794:21298:27, Private, 189462, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1504, 45, United-States, <=50K
12700:14829:14829:21344:28, Private, 51461, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
12722:14852:14852:21375:50, Private, 188186, Masters, 14, Divorced, Sales, Not-in-family, White, Female, 0, 1590, 45, United-States, <=50K
12754:14885:14885:21431:32, Private, 118551, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
12818:14971:14971:21571:31, Private, 176185, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, France, >50K
12879:15037:15037:21660:39, Private, 186183, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
12885:15045:15045:21671:52, Private, 168001, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
12892:15054:15054:21682:28, Private, 319768, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, France, >50K
12931:15100:15100:21743:25, Private, 262778, Masters, 14, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 37, United-States, <=50K
13016:15202:15202:21892:25, Private, 281627, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
13018:15204:15204:21895:29, Private, 157262, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
13050:15242:15242:21947:34, Private, 190385, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
13056:15250:15250:21960:43, Private, 117915, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
13065:15262:15262:21973:32, Private, 317219, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1590, 40, United-States, <=50K
13101:15306:15306:22028:40, Private, 111483, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
13102:15309:15309:22034:26, Private, 104834, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1669, 40, United-States, <=50K
13103:15310:15310:22036:39, Private, 32146, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
13113:15321:15321:22052:43, Private, 214781, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 40, United-States, >50K
13142:15357:15357:22097:25, Private, 202091, Masters, 14, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 60, United-States, <=50K
13168:15384:15384:22143:39, Private, 202937, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
13177:15393:15393:22155:57, Private, 170287, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
13217:15438:15438:22216:42, Private, 169383, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
13264:15494:15494:22296:29, Private, 180758, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
13288:15523:15523:22340:31, Private, 189759, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
13310:15547:15547:22373:36, Private, 163278, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
13319:15558:15558:22392:50, Private, 168212, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 45, United-States, >50K
13338:15586:15586:22436:45, Private, 168262, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
13451:15716:15716:22615:39, Private, 37314, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
13467:15737:15737:22642:37, Private, 340614, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
13495:15769:15769:22686:54, Private, 260052, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
13527:15803:15803:22735:49, Private, 43348, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
13582:15869:15869:22832:42, Private, 174112, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
13590:15879:15879:22847:57, Private, 317847, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 2824, 50, United-States, >50K
13606:15896:15896:22871:40, Private, 180032, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1669, 40, United-States, <=50K
13660:15967:15967:22980:35, Private, 186934, Masters, 14, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
13669:15976:15976:22993:36, Private, 198841, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
13674:15981:15981:22998:27, Private, 329426, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 37, United-States, <=50K
13700:16009:16009:23042:40, Private, 51290, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
13778:16098:16098:23165:41, Private, 196456, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
13850:16180:16180:23281:50, Private, 194231, Masters, 14, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
13866:16197:16197:23305:58, Private, 146477, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, Greece, >50K
13871:16202:16202:23312:57, Private, 191318, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
13872:16204:16204:23316:26, Private, 55929, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 48, United-States, <=50K
13915:16252:16252:23393:45, Private, 260490, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
14011:16364:16364:23555:53, Private, 229465, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
14019:16372:16372:23565:49, Private, 155489, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
14085:16450:16450:23684:42, Private, 331651, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 8614, 0, 50, United-States, >50K
14141:16512:16512:23765:40, Private, 270147, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
14145:16516:16516:23770:34, Private, 163110, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
14206:16585:16585:23876:50, Private, 163948, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
14255:16644:16644:23964:41, Private, 104892, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
14257:16646:16646:23967:36, Private, 126675, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 50, United-States, >50K
14260:16649:16649:23970:42, Private, 183241, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 45, United-States, >50K
14264:16653:16653:23974:47, Private, 365516, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
14298:16691:16691:24029:86, Private, 149912, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
14311:16705:16705:24051:32, Private, 53277, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
14361:16763:16763:24127:50, Private, 206862, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 65, United-States, >50K
14402:16812:16812:24201:59, Private, 99131, Masters, 14, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
14417:16829:16829:24228:45, Private, 240841, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
14469:16890:16890:24321:44, Private, 186916, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
14491:16915:16915:24355:27, Private, 704108, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
14503:16927:16927:24370:40, Private, 151408, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
14508:16933:16933:24376:27, Private, 113501, Masters, 14, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 45, United-States, <=50K
14524:16953:16953:24402:44, Private, 104196, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
14548:16984:16984:24445:46, Private, 113390, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 1740, 60, United-States, <=50K
14558:16995:16995:24461:32, Private, 98656, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
14561:16999:16999:24467:42, Private, 187720, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 50, ?, >50K
14568:17007:17007:24478:31, Private, 263561, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
14679:17129:17129:24643:54, Private, 68985, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
14741:17198:17198:24736:33, Private, 55291, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
14744:17201:17201:24740:57, Private, 112840, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
14747:17204:17204:24746:51, Private, 162238, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1887, 47, United-States, >50K
14848:17323:17323:24925:68, Private, 208478, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 18, ?, <=50K
14873:17352:17352:24963:55, Private, 125000, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, >50K
14909:17397:17397:25014:53, Private, 123011, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
14921:17411:17411:25028:63, Private, 308028, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 5013, 0, 40, United-States, <=50K
14966:17466:17466:25110:44, Private, 54310, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7298, 0, 40, United-States, >50K
14973:17475:17475:25123:37, Private, 178100, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
14992:17496:17496:25152:31, Private, 240441, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 1564, 40, United-States, >50K
15033:17546:17546:25217:46, Private, 197332, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 46, United-States, >50K
15048:17563:17563:25243:29, Private, 110226, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 0, 65, ?, <=50K
15079:17599:17599:25296:34, Private, 113543, Masters, 14, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
15101:17626:17626:25332:44, Private, 185057, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
